#Curated_gene_name	Resistance_Mechanism	Drug_Class	Gene_names_variation	GNV_2	GNV_3	GNV_4	GNV_5	GNV_6	GNV_7	GNV_8	GNV_9	GNV_1	GNV_11	GNV_12
MuxA	efflux	MDR	MuxA											
MuxB	efflux	MDR	MuxB											
MuxC	efflux	MDR	MuxC											
norA	efflux	MDR	Staphylococcus_aureus_norA											
opcM	efflux	Aminoglycoside/Fluoroquinolone	opcM											
OpmB	efflux	MDR	OpmB											
opmD	efflux	MDR	opmD											
opmE	efflux	MDR	opmE											
OpmH	efflux	MDR	OpmH											
OprJ	efflux	MDR	OprJ											
OprM	efflux	MDR	OprM											
OprN	efflux	MDR	OprN											
OprZ	efflux	MDR	OprZ											
oqxA	efflux	Phenicol/Quinolone	oqxA	oqxA1	oqxA_1									
oqxA10	efflux	Phenicol/Quinolone	oqxA10	oqxA_1	oqxA									
oqxA11	efflux	Phenicol/Quinolone	oqxA11											
oqxA3	efflux	Phenicol/Quinolone	oqxA3											
oqxA5	efflux	Phenicol/Quinolone	oqxA5											
oqxA6	efflux	Phenicol/Quinolone	oqxA6											
oqxA7	efflux	Phenicol/Quinolone	oqxA7											
oqxA9	efflux	Phenicol/Quinolone	oqxA9											
oqxB	efflux	Phenicol/Quinolone	oqxB_1											
oqxB11	efflux	Phenicol/Quinolone	oqxB11											
oqxB12	efflux	Phenicol/Quinolone	oqxB12											
oqxB13	efflux	Phenicol/Quinolone	oqxB13											
oqxB15	efflux	Phenicol/Quinolone	oqxB15											
oqxB16	efflux	Phenicol/Quinolone	oqxB16											
oqxB17	efflux	Phenicol/Quinolone	oqxB17											
oqxB18	efflux	Phenicol/Quinolone	oqxB18											
oqxB19	efflux	Phenicol/Quinolone	oqxB19											
oqxB2	efflux	Phenicol/Quinolone	oqxB2											
oqxB20	efflux	Phenicol/Quinolone	oqxB20											
oqxB24	efflux	Phenicol/Quinolone	oqxB24											
oqxB25	efflux	Phenicol/Quinolone	oqxB25											
oqxB26	efflux	Phenicol/Quinolone	oqxB26											
oqxB27	efflux	Phenicol/Quinolone	oqxB27											
oqxB3	efflux	Phenicol/Quinolone	oqxB3											
oqxB32	efflux	Phenicol/Quinolone	oqxB32											
oqxB4	efflux	Phenicol/Quinolone	oqxB4											
oqxB5	efflux	Phenicol/Quinolone	oqxB5											
oqxB7	efflux	Phenicol/Quinolone	oqxB7											
oqxB9	efflux	Phenicol/Quinolone	oqxB9											
patA	efflux	Fluoroquinolone	patA											
patB	efflux	Fluoroquinolone	patB											
penA	inactivation	Beta-Lactam	penA_1											
PmpM	efflux	MDR	PmpM											
pmrA	efflux	MDR	pmrA											
pmrF	efflux	MDR	pmrF											
qacA	efflux	MDR	qacA											
qacH	efflux	MDR	qacH											
qnrB11	target protection	Fluoroquinolone	qnrB11_1											
QnrB33	target protection	Fluoroquinolone	qnrB33_1											
QnrB35	target protection	Fluoroquinolone	qnrB35_1											
qnrB38	target protection	Fluoroquinolone	qnrB38_1											
qnrB4	target protection	Fluoroquinolone	qnrB4_1											
qnrE1	target protection	Fluoroquinolone	qnrE1_1	qnrE1										
ramA	efflux	MDR	ramA											
RlmA(II)	target alteration	Macrolide/Lincosamide	RlmA(II)											
rosA	efflux	Peptide	rosA											
rosB	efflux	Peptide	rosB											
rphB	inactivation	Rifampicin	rphB											
rphC	inactivation	Rifampicin	rphC											
rpoB	target alteration and replacement	Rifampicin	Nocardia_rifampin_resistant_beta-subunit_of_RNA_polymerase_(rpoB2)	Bifidobacterium_adolescentis_rpoB_conferring_resistance_to_rifampicin	rpoB2									
sal(A)	target protection	MLS	sal(A)	sal(A)_1										
sat2	inactivation	Streptothricin	sat2_gen											
sat4	inactivation	Streptothricin	sat4	SAT-4										
satA	inactivation	Streptothricin	satA_Ba											
smeA	efflux	MDR	smeA											
smeB	efflux	MDR	smeB											
smeC	efflux	MDR	smeC											
smeD	efflux	MDR	smeD											
smeE	efflux	MDR	smeE											
smeF	efflux	MDR	smeF											
smeR	efflux	MDR	smeR											
smeS	efflux	MDR	smeS											
soxR	efflux	MDR	Pseudomonas_aeruginosa_soxR											
str	target alteration	Aminoglycoside	str_1											
sul1	target replacement	Sulfonamide	sul1_5											
sul2	target replacement	Sulfonamide	sul2_2	sul2_3	sul2_13	sul2_14								
tet(30)	efflux	Tetracycline	tet(30)_1											
tet(32)	target protection	Tetracycline	tet(32)_1	tet(32)_2	tet32									
tet(34)	efflux	Tetracycline	tet(34)_1											
tet(38)	efflux	Tetracycline	tet38											
tet(41)	efflux	Tetracycline	tet(41)_1											
tet(42)	efflux	Tetracycline	tet(42)_1											
tet(45)	efflux	Tetracycline	tet(45)	tet(45)_1	tet45									
tet(A)	efflux	Tetracycline	tet(A)_6											
tet(B)	efflux	Tetracycline	tet(B)_1	tet(B)_2										
tet(H)	efflux	Tetracycline	tet(H)_3	tetH										
tet(J)	efflux	Tetracycline	tet(J)_1											
tet(K)	efflux	Tetracycline	tet(K)_1											
tet(L)	efflux	Tetracycline	tet(L)_2	tet(L)_1										
tet(M)	target protection	Tetracycline	tet(M)_1	tet(M)_2	tet(M)_4	tet(M)_5	tet(M)_6							
tet(O)	target protection	Tetracycline	tet(O)_1	tet(O)_3	tet(O)_4	tetO		tet(M)_7	tet(M)_8	tet(M)_1	tet(M)_11	tet(M)_12	tet(M)_13	tetM
tet(Q)	target protection	Tetracycline	tet(Q)_1	tet(Q)_2	tet(Q)_3	tet(Q)_4	tetQ							
tet(S)	target protection	Tetracycline	tet(S)_3											
tet(S/M)	target protection	Tetracycline	tet(S/M)_1											
tet(W)	target protection	Tetracycline	tet(W)_4	tet(W)_5	tetW									
tet(X)	inactivation	Tetracycline	tet(X)_2	tetX										
tetA(46)	efflux	Tetracycline	tetA(46)_1											
tetA(60)	efflux	Tetracycline	tetA(60)_1											
tetA(P)	efflux	Tetracycline	tetA(P)_2	tetA(P)_1										
tetB(46)	efflux	Tetracycline	tetB(46)_1											
tetB(60)	efflux	Tetracycline	tetB(60)_1											
tetB(P)	target protection	Tetracycline	tetB(P)_1	tetB(P)										
tolC	efflux	MDR	tolC											
TriA	efflux	MDR	TriA											
TriB	efflux	MDR	TriB											
TriC	efflux	MDR	TriC											
ugd	efflux	Peptide	ugd											
vanC	target alteration	Vancomycin	vanC2/3	VanC2XY										
vanR-A	target alteration	Vancomycin	vanR-A	vanRA										
vanR-C	target alteration	Vancomycin	vanRC											
vanR-I	target alteration	Vancomycin	vanRI											
vanR-M	target alteration	Vancomycin	vanRM											
vanR-O	target alteration	Vancomycin	vanRO											
vanS-C	target alteration	Vancomycin	vanS-C											
vanS-Pt	target alteration	Vancomycin	vanS-Pt	vanSA										
vanT-C	target alteration	Vancomycin	vanT-C											
vanXY-C	target alteration	Vancomycin	vanXY-c4											
vanY-Pt	target alteration	Vancomycin	vanY-Pt											
vanZ-A	target alteration	Vancomycin	vanZA											
vanZ-F	target alteration	Vancomycin	vanZF											
vat(F)	inactivation	Streptogramin	vat(F)_1	vatF										
